Temp,D.O. (mg/l),PH,B.O.D. (mg/l),TOTAL COLIFORM (MPN/100ml)Mean
29.8,6.1,7.6,1.8,9554
27.9,7,6.9,1.1,2841
28.2,6.6,6.5,1,7190
29.6,7,6.8,2,23867
28.8,7,7,1.2,2813
29.5,6.3,7.6,1.5,7069
29.8,6.7,6.8,1.2,3559
29.7,7.1,6.6,1,3527
28.7,6.7,6.6,1.3,3757
27.9,7.2,6.7,0.9,1996
29.3,4.2,6.7,2,9286
28.6,6.3,6.6,1.6,6054
29.8,5.6,7.7,1.7,3644
28.6,2.8,6.4,3.2,21036
30.6,5.2,7.1,2.6,1525
30.3,5.6,7.7,1.5,7130
30.4,5.5,7.7,1.5,12282
29.6,6.9,6.7,0.9,1132
29.6,6.3,7.6,1.7,3612
29.5,7.1,6.6,1.1,8167
26.7,6.9,7.7,3.3,163
29.3,7.2,8.2,3.3,94
28,6.9,7.7,3.7,103
28.2,6.9,7.6,3.5,79
26.5,6.4,7.4,4.3,753
20.7,6.3,8.3,2.7,157
27.2,6.7,7.8,3.6,89
27.5,6.3,7.6,4.4,98
26,5.9,7.6,5,300
26.5,7.3,7.7,3.2,93
27,3.6,7.4,30.5,745
27.3,6.3,8.3,3.3,112
28.7,7.2,7.7,3.3,89
28.4,7.1,7.5,3.4,63
28.7,7.1,7.4,38,667
28.7,7.2,7.6,3.2,51
28.7,7,7.6,3.3,63
28.7,7.2,7.6,3.4,64
28.7,7.1,7.8,3.2,88
29.3,6.8,7.7,3.6,124
28.3,6.8,7.4,3.7,124
28.7,6.8,7.6,3.3,118
29.2,6.7,7.8,4.4,138
28.7,6.8,7.7,3.9,120
27.2,6.8,8.1,3.8,85
27.2,6.8,8,3.5,98
27.2,7,8,3.6,83
28,6.9,7.9,3.5,96
26.2,7,7.6,3.5,63
26.2,7.2,7.5,3.3,88
28.2,7.2,7.7,3.3,68
24.5,6.9,7.5,2.8,82
24.5,6.7,7.7,3.3,90
24.5,7.3,7.7,2.9,88
24,6.4,7.3,1.7,788
24.9,6,7.1,1.7,538
24.3,6.3,7.1,1.3,593
24.8,6.5,7.3,1.6,545
26.4,6.7,6.6,1.2,435
27,7,6.6,1.5,435
26.6,6.7,7.3,0.8,1567
28.6,6.9,7.7,0.7,443
28.8,6.7,7.9,0.9,426
28,5.6,6.9,1.2,990
27.4,7.3,7.4,0.8,4208
27.5,6.9,7.4,0.8,2557
26.8,7.1,7.4,0.6,2831
30,7.2,6.9,1.3,150
28.8,3.4,6.7,2.3,1236
27.4,6.1,7.2,0.9,2975
24.8,6.4,7.2,1.9,618
23.6,6.2,7.2,2,483
29.8,6.6,6.9,1.6,756
30.2,6.8,7,1.7,785
28.2,2.9,6.7,2.2,1623
27.7,3,6.6,2,1319
23.9,6.7,7.1,1.6,738
27.4,3.6,7.3,2.6,112867
27.8,6.1,7.8,1.3,997
26.4,6.9,7.4,0.5,67
29.6,7,6.9,1.1,317
27,3.1,7.2,13.2,19917
26.3,7,7.1,0.5,496
30,6.1,7,1.8,282
28,6,6.4,2.1,300
30.1,6.3,7,2.8,543
27.9,6.9,8.1,0.9,615
27,5.9,6.7,1.5,377
26,7.8,6.8,1.4,319
27.7,7.1,7.4,1,66382
27.1,7.3,7.2,0.9,3471
26.5,6.2,7.2,0.8,942
28.5,7.2,6.8,1.2,941
28.7,6.9,6.7,2.5,701
25.7,6.3,7.4,0.6,128
29.3,7.6,6.8,1.6,109
27,7,7.2,0.6,3558
30.9,5.9,7,1.5,253
27.1,6.8,7.2,0.6,2392
30.3,6.3,6.7,1.3,278
30.4,6.4,6.9,1,277
26.2,6.6,7.3,0.6,940
26.2,6.9,7.2,0.5,774
25.1,6,7.3,1.7,597
27.4,6.1,7.2,0.7,311
28.1,4.5,6.9,0.7,388
28.3,4.2,7,0.6,420
28.2,6,7,2.2,1894
27.2,7.3,7,1,927
27.4,6.3,7,1.6,1876
28.2,6.4,7.2,1.4,1357
27.9,5.9,7,2.2,1284
27.3,4.6,7,1.7,1937
28.2,6.5,6.9,2,1573
28.2,6.5,7,1.4,1221
26.7,6.4,6.4,1.2,376
28,6,6.1,1.2,438
29.7,5.3,6.8,2.8,523
28.2,3.6,6.5,1.8,261
28.9,6.9,6.7,1.8,205
26.4,6,6.6,1.5,398
30,4.9,6.8,1.6,614
30.8,6.3,7,1.4,201
27.8,6.6,6.8,1.1,347
26.7,7.1,7.5,0.8,1097
27,6,7.3,1.2,78
26.8,6.1,7.7,1.2,211
19,5.8,7.8,0.6,1100
21.4,6.1,8,0.9,1260
27.1,7.3,7.3,2.3,336
26.3,7.6,7.4,2.4,834
28.3,6.5,7.1,1,212
27.9,6.5,7.1,1,79
23.4,7.5,7.8,1.4,18918
23.5,7.6,7.6,2.3,32918
22.4,7.3,7.5,1.2,17512
26.8,7.5,8,1.4,23191
26.5,7.3,7.9,2.9,30836
22,7.4,7.9,2.3,3900
27.6,6.9,8.1,2,22523
26.8,7,8,1.8,10469
25.6,7.2,7.8,1.3,31034
26.5,7.3,8,1.2,5289
24,NAN,7.8,1,NAN
28,8,7.7,NAN,NAN
28,8,8.2,4,NAN
28,7,8.2,5,NAN
27,7,6.4,4,NAN
27.8,6.7,7.5,1.7,474
23.4,7.2,6.5,3.1,59
25.4,6.7,6.3,3.3,74
26.3,6.3,6.5,4,124
29,6.6,6.9,5.4,53
24.6,7.1,6.3,3.5,82
23.5,6.9,6.3,3.5,52
29,7.3,7.1,3.6,104
27,6.1,7,5.2,77
24,6.9,6.4,3.2,65
28.7,6.8,6.8,9.4,58
26.3,6,6.6,3.9,84
25.7,6.5,6.7,3.3,113
26.8,3.4,7.8,164.9,160405392
NAN,NAN,NAN,NAN,NAN
23.3,5.5,7.2,9.7,4975
22.8,4.7,7.3,23.8,56000
23.3,5.3,7.2,11.3,6025
21.8,4.9,7.3,23.5,54250
24.3,5.3,7.4,13,26750
23.5,4.9,7.5,16.5,30500
24,4.4,7.4,24.8,55250
23.5,4.8,7.2,20.3,43700
23.3,5.1,7.3,14.8,8425
22.5,4.6,7.4,24.3,50000
26,4,7.4,26,57500
25.8,4.4,7.3,21.5,43750
NAN,NAN,6.9,13,NAN
NAN,NAN,6.5,15,NAN
NAN,5,7.3,33.9,NAN
NAN,NAN,6.7,18,NAN
30.7,4.8,7.6,0.8,9
20.3,7.1,7.5,1.3,19
20.7,7.1,7.5,1.4,22
20.8,6.6,7.5,1.6,24
20.6,4.9,7.4,16.3,120
28,4.9,8.3,1,5
23.4,5.5,7.4,0.8,6
25.3,5.5,8.1,1.1,6
31.1,5,7.3,1.7,12
26.3,5.6,8.1,1.1,6
22,7.3,7.3,2.1,32
24.4,7.2,7.3,2.2,57
23.7,7.2,7.4,2.2,56
24.6,7.6,7.2,1.8,57
23.1,7.1,7.5,2.2,413
21.7,5.2,2.9,7.8,30
18.2,7.3,7.1,1.3,48
18.8,7.6,7.2,1.2,36
23.8,8,6.9,1.8,49
17.8,7.9,7.3,1.4,29
18.7,7.4,7.2,1.9,32
18.8,7.7,7.2,1.6,63
21.3,6.8,2.7,3.2,11
22.6,7.1,6.5,3.8,1072
25.2,7.8,7.2,1.6,41
24.8,7.3,7.3,2,47
19.9,7.3,7,1.8,45
20.7,7.4,7.1,1.7,42
20.6,6.5,7.1,2.7,2722
21.5,7.5,5.7,1.5,23
17.7,5.8,6.9,3.1,463
17.9,6.9,7.2,1.4,33
23.9,7.8,7.3,1.9,444
18,6.6,7,2.3,63
18.4,7.6,7.1,1.7,53
18.8,7.8,7,1.4,35
24.8,7.7,7.4,1.6,56
19.3,7.1,7,1.8,43
20.6,7.4,7,1.6,87
20.7,7.5,7.2,1.6,46
18.4,3.1,7.2,21.8,31444
19.1,4.7,7.2,13.6,20056
19.7,2.1,7.2,37.2,62333
20.1,1.8,7.2,40.6,96944
17.6,7.2,6.9,1.7,56
22.7,7.9,7.1,1.2,50
17.9,6.9,6.9,2.2,45
18.9,1.9,7,34.2,85667
19.4,4.5,7.1,15.5,43333
23.7,7.2,7.1,6.7,476
22.7,7.5,7,2.1,122
23.6,7.1,7.5,1.9,NAN
23.8,7,7.6,1.8,NAN
23.5,7.2,7.9,1.9,NAN
23.5,6.5,7.8,1.8,NAN
27.4,6.6,7.7,1.7,325
21.9,6.7,7.8,4.8,520
27.5,6.6,7.7,3.7,575
31,7.1,7.8,8, 
28,7.2,7.4,0.7,10
27,6.2,8.4,9,350
30,2.2,8,17.9,25478
31,2,7.7,32.3,15173
29,2.4,7.6,6.2,13
31,5.9,7.2,2.1,90
30,6.1,6.8,1.3,3808
30,5.5,6.9,1.3,11113
29,5.4,7.2,1.5,2309
29,5.8,7.2,5.3,3322
29,5.9,6.7,1.5,5793
28,6.4,6.7,1.3,3636
30,6.2,7.7,1.3,4517
30,6.1,7.8,1.5,5840
27,7.3,6.9,0.7,4388
28,6.8,6.6,1.5,3949
29,7.4,6.5,2.3,16691
28,7,6.8,1.6,2404
29,6.3,7.5,1.6,4267
29,7.1,6.8,0.8,3567
30,7.3,6.8,1.2,2446
28,6.7,6.6,1,3496
28,7.4,6.8,1.3,1404
29,4.5,6.6,2.4,5889
28,6.1,6.9,1.8,3937
30,5.9,7.3,1.6,2794
30,2.4,6.5,4.8,14217
31,4,6.8,1.8,2280
29,5.4,7.6,1.6,1330
30,5.3,7.6,1.4,2517
29,7,6.9,0.8,3059
29,5.9,7.7,2.1,831
29,7.1,6.5,1.7,8163
29,6.9,7.7,3.3,123
30,6.6,7.9,3.2,104
27,6.6,7.7,3.6,77
27,6.8,7.7,3.4,75
27,4.8,7.2,8.4,408
23,6.4,8,4.2,68
29,6.8,7.6,3,295
29,6.7,7.5,4.6,132
28,5.8,7.9,9.5,451
29,6.9,7.7,3.1,168
25,4.9,7.6,55.5,964
28,6.9,7.9,2.7,107
29,6.8,7.5,3,241
29,6.7,7.3,2.9,209
29,5.6,6.9,4.5,173
29,6.5,7.3,3,284
30,7.1,7.5,3,297
30,6.4,7.3,3.1,191
29,6.9,7.7,2.9,268
25,7,7.9,2.9,86
30,6.4,7.6,3.7,139
30,6.9,7.7,2.8,123
31,6.3,7.7,3.5,116
30,6.5,7.5,3.4,126
30,6.3,7.4,4.7,134
28,6.5,8.1,4,115
28,7,8,3.5,245
28,7,8,2.9,74
27,6.8,7.8,3.3,77
27,6.4,7.6,3.2,142
26,6.7,7.7,3,73
27,6.7,7.6,2.9,64
28,6.6,7.8,3.5,79
23,7,7.7,2.4,112
22,6.8,7.6,2.9,123
23,6.9,7.5,2.3,108
26,7,7.2,0.8,637
26,6.6,7,1.1,670
26,6.6,7.3,0.7,541
26,6.2,7.3,0.8,609
26,7.1,7,1,538
26,7,6.7,1.1,528
29,6.7,7.3,1.1,2025
28,6.2,7.3,1,676
28,7.1,8.1,0.9,992
29,6.3,6.3,1.2,780
26,7.3,7.2,0.6,893
26,7,7.3,0.9,503
28,6.8,7.1,0.8,1169
29,7.4,7.2,0.7,255
28,1.7,6.6,3.4,1717
26,6.1,7.5,1.4,2686
26,6.6,7.2,0.8,660
25,6.6,7.2,0.8,810
29,6,6.7,1.2,680
29,6.6,6.8,1,626
28,0.6,6.7,4.1,1308
27,1.8,6.6,2,1410
25,7.1,7.2,1,608
26,3.9,7.6,2.5,7240
27,6.6,8,1.1,783
27,7,7.1,0.8,77
29,7.3,7,0.7,258
29,0.5,7.1,21.2,15833
29,7,7.4,0.9,1400
29,6.1,6.8,1.1,394
27,7,6.7,1.3,248
30,5.2,6.9,1.5,465
27,6.1,8,1.1,1572
27,6.5,6.9,1.8,1481
25,7.9,7.2,1.1,845
25,7.5,6.9,0.9,256
26,7,7.4,1,897
29,7.3,7.3,0.9,1788
27,7.5,6.9,1.6,1400
27,6.8,6.9,1.7,1260
27,5.8,7.3,0.9,343
28,7.1,7.2,0.8,184
