Temp,D.O. (mg/l),PH,B.O.D. (mg/l),TOTAL COLIFORM (MPN/100ml)Mean
23,3.6,7.2,4.9,383
23,3.7,7.5,4,394
24,7.1,7.3,2,89
23,7.1,7.2,2,60
22,5.8,7.6,1.7,118
24,8.4,7.9,0.8,180
20,8.1,7.2,5.4,373
18,6.1,3.1,5.5,45
16,8,7,1.7,2067
19,5.4,7.2,1.7,278
18,7,7,1.7,375
27,5.2,7.4,1.4,280
27,4.7,7.4, ,440
27,5.4,7.4,3,565
23,6.9,7.2,1.5,119
NAN,NAN,7.61,NAN,NAN
25,7.102,7.945,1.525,50
25.5,3.487,7.015,9.2,1400
22,5.35,7.935,4.7,15000
25.5,7.05,7.995,4.7,33500
29.667,6.5,8.14,5.3,2400
25.5,NAN,7.885,15,10
29,5.6,8.173,4.6,6867
26.5,6.085,7.695,3.2,1550
26.5,6.055,7.605,4.3,140
28,NAN,7.215,431.5,8
27,7.93,8.32,1.46,5
25.667,4.9,7.943,3.1,2367
27.75,6.625,7.725,2.175,60
27.75,5.175,6.95,1.5,255
30,6.4,7.45,2.025,4073
28.25,6.2,7.9,1.575,85
26.667,7.4,6.733,1.7,160
28.75,7.6,6.775,1.3,3275
28,7.35,7.1,1.425,285
28.25,7.675,6.875,1.025,96
27.25,7.125,7.55,1.725,106
28.5,7,6.725,1.575,5425
27.714,6.543,7.229,4.014,187
28.714,6.7,7.307,3.857,162
28.667,7.1,7.507,4.633,152
26.667,6.333,7.277,5.4,207
26.714,6.471,7.379,3.729,174
28.286,6.371,7.061,4.5,292
19.333,6.7,7.44,4.4,305
29.083,6.2,6.457,1.757,541
27.417,7.286,6.586,1.071,470
27.286,6.525,6.5,1.313,844
28.6,6.917,6.95,0.467,433
28.667,6.8,7.043,0.414,473
27.786,7.075,7.25,0.988,384
28.143,7.013,6.712,1.4,485
27.5,6.787,6.65,1.637,574
28.571,4.1,6.775,6.788,3100
27,6.9,6.8,0.733,2500
26.5,6.867,6.833,0.633,2400
26.25,6.467,6.6,1.033,2733
26.75,6.667,6.933,0.933,3300
26.75,6.967,6.933,0.833,2233
26.5,6.733,6.867,0.933,2233
27,6.714,6.957,0.671,2171
26.75,6.733,6.733,0.9,2833
28,7.233,6.867,1.1,2300
27,6.233,6.9,0.867,2233
28.5,6.867,7.067,0.533,455
28.5,6.433,6.667,0.6,967
29,7.033,6.533,0.533,740
28.75,6.633,7.067,0.633,800
28,6.833,7,0.7,583
29.5,6.333,7.167,0.7,447
28,7.033,7.033,0.267,1260
28.5,7,7.133,0.7,933
29,3.5,6.567,2.133,443
28.857,6.243,7.253,0.857,21469
21,6.9,8.2,2.8,2200
24,7.8,8.5,0.6,3500
33,7.3,8.6,0.9,NAN
27.5,7.95,6.565,1.5,66
29,5.8,6.6,1,58
31.25,6.975,6.725,1.5,98
NAN,5.35,7.19,1.325,31
30,7.525,6.61,1.5,26
29,7.15,6.56,1.1,73
NAN,4.325,7.045,2.075,109
27.5,6.925,7.633,2,570
27.25,6.825,7.125,3.667,771
26.667,6.7,7.267,1.333,41
26.333,6.75,7.3,1.667,47
21.25,5.87,7.84,4.35,NAN
17.667,6.033,7.367,3.267,6867
16.5,5.1,7.85,12,36500
18,4.867,7.367,12,27667
17.333,4.833,7.533,13.333,30000
17.5,5.1,7.367,6.933,43067
15,6.8,7.3,5.4,9250
17.5,4.2,7.367,14.667,83667
18,5.533,7.3,9.333,88333
17.5,5.2,7.3,6.267,54067
18,4.2,7.733,21,76667
18.333,4.033,7.667,21.333,148667
18.667,4.133,7.633,20.333,110333
18,5.35,7.55,17,NAN
19,4.05,7.85,16,NAN
17.5,6.25,7.9,14,NAN
18.5,6.65,7.875,43,16900
19.5,7.2,9.01,4.6,23
22,6.27,7.89,149.75,NAN
20,6.1,7.1,3.1,14
26,0.6,7.3,87,NAN
27,NAN,7.9,130,NAN
27,NAN,7.1,126,NAN
16,7.2,7,5.2,180
15,4.6,3,6.2,49
10,8.8,7,1.6,2800
11,10,7.1,1,350
12,9,7.3,1.8,280
23.667,7.767,7.543,0.5,NAN
23.7,7.167,8.143,0.6,NAN
23.767,8.533,7.857,0.4,NAN
23.667,8.867,7.793,0.5,NAN
28,5.6,7.65,1.758,18417
NAN,NAN,7.76,10.825,NAN
NAN,NAN,NAN,1,37000
NAN,NAN,NAN,112,6400000
26,7.2,7.84,1.764,230
27,5,7.22,19.663,13525
29,6.2,8.11,11.333,18810
27,7.2,8.07,4,280
28,6.2,7.98,5,50350
28,3.9,7.92,14.847,36
29,7.2,7.42,4.632,118311
28,6.9,6.44,2.304,116
29,7.8,6.69,2.754,140
29,6.7,7.35,1.893,148
28,8.3,6.68,2.503,155
28,8.1,6.18,2.375,155
29,7.7,6.55,2.242,164
29,8.6,6.56,2.423,155
28,7.7,6.45,2.144,142
28,7.4,6.07,1.681,140
NAN,7,8.16,4.165,27550
NAN,5.9,7.36,6.1,4600
27,4.1,7.57,7.08,1993
27,3.9,5.27,441.8,10
NAN,5.7,7.62,2.12,6000
NAN,6.1,8,5.64,38428
14,6.2,7.88,9.75,1100
19,6.3,8.05,13,75
27,7.1,7.2,1.6,95
28,7.4,7.27,1.333,37
28,7.3,7.3,4,58
NAN,5.9,6.6,1.755,387
NAN,7.4,6.68,1.164,298
NAN,7.1,6.75,1.325,378
NAN,6.8,6.92,0.458,353
NAN,6.8,6.98,0.475,466
NAN,6.8,7.03,1.117,624
NAN,7.2,6.76,1.692,357
NAN,6.2,6.63,1.275,360
NAN,6.6,6.77,1.383,3383
NAN,6.9,6.95,0.625,3100
NAN,6,6.75,0.975,3600
NAN,5.4,6.85,1.075,8375
NAN,6.7,6.93,0.675,4200
NAN,6.9,6.85,0.575,3400
NAN,6.5,6.98,0.575,2600
NAN,6.8,7.06,0.567,2825
NAN,5.8,6.73,0.7,3500
NAN,6.8,6.8,0.7,1775
NAN,7.1,6.83,0.7,1475
NAN,6.3,7.15,1.05,595
NAN,6.3,6.95,0.65,775
NAN,6.9,6.65,0.5,215
NAN,6.4,6.75,0.675,350
NAN,6.8,7.35,1.15,660
NAN,6.8,7.08,0.975,515
NAN,7.1,6.98,0.55,510
NAN,7,7.23,0.425,453
NAN,2.4,6.43,2.025,373
27,6.7,7.56,4.942,250
NAN,6.8,7.68,4.475,236
NAN,6.5,7.33,4.4,208
NAN,5.1,7.45,9.875,210
NAN,6.5,7.34,5.125,230
NAN,6.6,7.47,4.958,358
NAN,6.6,7.75,4.5,203
NAN,7.9,7.85,3,55
NAN,7.4,7,2.027,44
NAN,7,7.9,3.525,45
NAN,6.9,7.73,3.233,63
NAN,7.3,7.77,4.043,66
NAN,8,7.8,3.4,54
NAN,5.5,6.58,11.57,315
NAN,7,7.43,8.693,252
20,6.6,7.15,7.475,288
18,6.4,3.05,5.067,45
15,7.1,7.03,2.1,2300
19,8.1,7.03,1.967,307
21,8.3,7.1,2.133,413
25,7.4,6.6,NAN,NAN
25,6.8,6.3,NAN,NAN
25,6.1,7.15,NAN,NAN
26,7.5,7.2,NAN,NAN
28,7.5,7.8,1.775,17625
30,7.5,7.35,2.25,2145
27,6,7.55,3.125,10950
32,6.3,7.43,2.175,4500
29,6.1,8.33,NAN,NAN
NAN,8.1,7.86,2.747,NAN
25,7.3,7.3,2.067,348
NAN,4.9,7.33,14.533,18000
28,6.3,7.58,6.7,4963
28,6.1,7.58,14.25,27500
25,6.8,7.43,4.25,3043
26,6.7,7.38,3.85,11050
27,5.9,7.48,8.35,22025
25,6.5,7.4,4.3,15875
25,6.9,7.4,3.75,3500
26,5.1,7.48,14.7,23500
28,5,7.4,14.76,37320
28,5.1,7.43,16.25,44000
16,6.2,7.63,7,43
NAN,4.4,8.23,1.39,150
NAN,4.2,8.52,1.26,1100
23,4,7.65,36,2950
22,8,8.31,4.4,30
NAN,4.2,8.55,341.833,NAN
NAN,5,7.92,1.443,149
25,7.5,7.53,1.407,133
27,6.6,7.27,3.555,156
28,6.8,7.12,1.723,283
NAN,6.7,7.6,1.229,33
28,7.1,6.94,0.943,26
27,7.4,7,0.977,105
NAN,6.6,7.81,2.675,191
28,6.6,7.49,2.091,273
28,5.4,7.16,2.092,513
30,5.4,7.37,1.802,557
29,5.3,7.37,2.552,583
30,7.8,239,1.7,10720
29,7.5,442,3.4,132
29,7,430,2.4,175
29,7.2,216,1.8,167
29,7.9,352,4.2,158
28,7,86,4.7,145
29,6.8,65,1.8,171
28,7.1,101,2,138
27,7,78,1.8,145
29,7.2,60,1.9,151
28,6.6,76,1.9,169
NAN,NAN,NAN,NAN,NAN
28,8,368,1,554
28,7.5,21331,11.7,14109
30,8.1,540,2.5,540
29,8.1,443,2,6477
29,8.1,467,3,107
32,7.8,1304,19.5,63
30,8,1708,3.5,2051
28,7.5,1175,4,3900
28,7.5,67115,5.5,3425
27,4,9948,513.5,35
28,7.7,1148,6.9,10050
28,8,590,1.8,2873
27,7.7,440,2.4,688
28,6.4,1579,1.7,959
27,6.8,62,1.5,892
28,6.9,44,1,734
28,6.9,62,0.4,802
28,7,9416,0.5,832
24,6.9,39,1.1,958
28,7.1,53,1.4,632
28,6.9,102,1.2,608
27,6.8,437,1.1,2933
27,7.3,58,0.6,3025
26,6.9,1835,1.2,2400
27,6.8,60,0.9,3050
29,7.2,80,0.8,12750
27,7,42,0.4,3800
26,7,51,0.5,2900
26,7.1,58,0.5,3000
26,7,63,0.6,3550
27,6.8,72,0.6,1350
26,6.8,83,0.9,1350
24,7,69,1.2,1400
28,6.8,88,0.9,1600
27,6.9,31,0.5,158
27,6.8,46,0.5,905
26,7.2,20850,0.9,1475
25,7,24336,1.1,620
25,7.1,77,0.3,985
25,7.1,76,0.4,735
29,6.5,3384,1.9,643
26,7.7,280,5.7,223
27,7.8,183,5,211
24,7.7,107,5.2,208
25,7.5,185,6.5,224
27,7.3,157,5.6,221
28,7.4,150,6,269
26,7.4,139,5.9,213
21,7.3,111,2.4,80
21,7.4,74,1.2,64
21,7.5,77,3.2,65
21,7.3,97,1.9,78
21,7.4,121,2.7,69
21,7.4,142,1.3,73
23,7.3,112,17.2,225
21,7.5,124,18.5,247
20,6.9,223,6.8,295
17,3.1,493,5.9,33
15,6.9,142,2.2,1573
20,6.9,145,1.8,245
21,7,145,2.3,363
30,8.1,569,1.6,6050
27,7.7,28598,1.7,3200
30,7.4,219,3,11300
29,7.2,198,2.1,4950
29,8,978,9,NAN
21,7.6,203,1.9,109
29,7.2,150,1.3,327
31,7.3,178,1.5,190
29,7.1,214,2.3,350
NAN,7.5,293,1.2,35
28,6.9,146,2,38
28,7,136,1.4,205
NAN,7.9,738,2.7,202
29,7.5,585,2.6,315
28,7.6,98,1.2,570
28,7.7,91,1.3,562
29,7.6,110,1.1,546
