Temp,DO,PH,BOD,Tot_col,WQI
28.6,6.9,7.7,0.7,443.0,28.958155852194967
28.8,6.7,7.9,0.9,426.0,36.87735272248063
28.0,5.6,6.9,1.2,990.0,46.0582528801991
27.4,7.3,7.4,0.8,4208.0,26.383197199236506
27.5,6.9,7.4,0.8,2557.0,29.644789215775344
26.8,7.1,7.4,0.6,2831.0,25.034975270455988
30.0,7.2,6.9,1.3,150.0,26.14982513661203
28.8,3.4,6.7,2.3,1236.0,93.09749312393978
27.4,6.1,7.2,0.9,2975.0,38.10439605180876
24.8,6.4,7.2,1.9,618.0,52.267386333315116
23.6,6.2,7.2,2.0,483.0,56.46689142096229
29.8,6.6,6.9,1.6,756.0,39.47107737103898
30.2,6.8,7.0,1.7,785.0,36.95400265477644
28.2,2.9,6.7,2.2,1623.0,96.75883587174854
27.7,3.0,6.6,2.0,1319.0,92.61559897028317
23.9,6.7,7.1,1.6,738.0,43.85063963223837
27.4,3.6,7.3,2.6,112867.0,163.83930866133431
27.8,6.1,7.8,1.3,997.0,50.63392261826917
26.4,6.9,7.4,0.5,67.0,24.16173468567926
29.6,7.0,6.9,1.1,317.0,25.961533062683067
27.0,3.1,7.2,13.2,19917.0,290.4477096390458
26.3,7.0,7.1,0.5,496.0,19.886708613678604
30.0,6.1,7.0,1.8,282.0,47.48675256830602
28.0,6.0,6.4,2.1,300.0,62.41419924477628
30.1,6.3,7.0,2.8,543.0,62.03333836534887
27.9,6.9,8.1,0.9,615.0,38.10096925714091
27.0,5.9,6.7,1.5,377.0,50.307554381504616
26.0,7.8,6.8,1.4,319.0,28.428926455222914
27.7,7.1,7.4,1.0,66382.0,70.16323008120267
27.1,7.3,7.2,0.9,3471.0,25.61940638224047
26.5,6.2,7.2,0.8,942.0,34.64565503703558
28.5,7.2,6.8,1.2,941.0,28.39321908010695
28.7,6.9,6.7,2.5,701.0,54.820285592753784
25.7,6.3,7.4,0.6,128.0,32.634207871094425
29.3,7.6,6.8,1.6,109.0,28.648961713494526
27.0,7.0,7.2,0.6,3558.0,23.92599195889917
30.9,5.9,7.0,1.5,253.0,44.27677510361922
27.1,6.8,7.2,0.6,2392.0,25.25418296581138
30.3,6.3,6.7,1.3,278.0,39.7533036240487
30.4,6.4,6.9,1.0,277.0,30.84816047093406
26.2,6.6,7.3,0.6,940.0,28.502832448741422
26.2,6.9,7.2,0.5,774.0,22.398668532880436
25.1,6.0,7.3,1.7,597.0,53.75999460880869
27.4,6.1,7.2,0.7,311.0,33.04938271847543
28.1,4.5,6.9,0.7,388.0,49.686520064682426
28.3,4.2,7.0,0.6,420.0,50.324221218047256
28.2,6.0,7.0,2.2,1894.0,57.773370854722906
27.2,7.3,7.0,1.0,927.0,23.21082046006583
27.4,6.3,7.0,1.6,1876.0,44.734239576380055
28.2,6.4,7.2,1.4,1357.0,41.642733863278735
27.9,5.9,7.0,2.2,1284.0,58.706958420049205
27.3,4.6,7.0,1.7,1937.0,65.1317887738893
28.2,6.5,6.9,2.0,1573.0,49.63856294875102
28.2,6.5,7.0,1.4,1221.0,38.00898961541769
26.7,6.4,6.4,1.2,376.0,43.65753799080685
28.0,6.0,6.1,1.2,438.0,50.788759244776294
29.7,5.3,6.8,2.8,523.0,77.26463176867098
28.2,3.6,6.5,1.8,261.0,83.48309280338793
28.9,6.9,6.7,1.8,205.0,42.35271333069859
