Temp,DO,PH,BOD,Tot_col,BOD_log,Tot_col_log
27.8,6.9,6.8,0.6,3375.0,0.4700036292457356,8.124446855715847
30.2,7.1,6.8,1.8,468.0,1.0296194171811581,6.150602768446279
30.8,6.2,7.2,1.5,542.0,0.9162907318741551,6.297109319933935
25.3,6.7,7.1,0.6,626.0,0.4700036292457356,6.440946540632921
25.3,7.2,7.0,0.6,433.0,0.4700036292457356,6.073044534100405
25.8,6.0,7.6,1.3,523.0,0.832909122935104,6.261491684321042
27.2,5.2,6.8,0.6,313.0,0.4700036292457356,5.749392985908253
28.1,4.8,6.8,0.7,332.0,0.5306282510621704,5.808142489980444
28.3,3.9,6.9,0.5,284.0,0.4054651081081644,5.652489180268651
28.1,5.0,6.9,1.8,667.0,1.0296194171811581,6.504288173536645
27.7,7.0,7.0,1.1,541.0,0.7419373447293773,6.295266001439646
28.0,6.3,6.9,1.2,815.0,0.7884573603642702,6.704414354964107
28.2,6.2,6.9,1.3,1007.0,0.832909122935104,6.915723448631314
28.0,5.7,6.8,1.9,759.0,1.0647107369924282,6.633318433280377
28.1,5.7,6.9,3.1,1205.0,1.410986973710262,7.095064377287131
28.1,6.6,7.1,1.3,785.0,0.832909122935104,6.666956792429207
28.1,6.6,7.0,1.3,472.0,0.832909122935104,6.159095388491933
27.3,6.5,6.5,0.9,188.0,0.6418538861723948,5.241747015059643
28.3,6.7,6.3,0.9,610.0,0.6418538861723948,6.415096959171596
29.1,4.3,7.2,1.8,796.0,1.0296194171811581,6.680854678790215
28.7,4.6,6.7,1.5,171.0,0.9162907318741551,5.147494476813453
28.5,7.7,6.9,1.6,554.0,0.9555114450274363,6.318968113746434
26.6,5.8,6.5,1.0,151.0,0.6931471805599453,5.0238805208462765
31.0,4.5,6.9,2.1,230.0,1.1314021114911006,5.442417710521793
30.5,6.9,7.2,1.3,643.0,0.832909122935104,6.467698726104354
28.8,6.6,7.0,0.9,103.0,0.6418538861723948,4.6443908991413725
25.3,6.9,7.5,0.6,1633.0,0.4700036292457356,7.3987862754199485
25.9,5.5,7.6,1.3,141.0,0.832909122935104,4.955827057601261
26.5,5.4,7.8,0.8,107.0,0.5877866649021191,4.68213122712422
18.9,7.1,7.8,0.7,1238.0,0.5306282510621704,7.122059881629142
20.5,6.9,8.0,0.9,1563.0,0.6418538861723948,7.355001921105257
27.1,7.3,7.3,2.4,65.0,1.2237754316221157,4.189654742026425
26.3,7.5,7.5,2.1,74.0,1.1314021114911006,4.31748811353631
29.1,6.4,7.2,1.0,1223.0,0.6931471805599453,7.1098794630722715
28.4,6.5,7.1,1.0,1342.0,0.6931471805599453,7.202661196523238
24.7,7.7,7.9,1.3,40500.0,0.832909122935104,10.609081944147828
24.4,7.5,7.8,2.1,53556.0,1.1314021114911006,10.888501786287165
22.7,7.3,7.2,0.7,13810.0,0.5306282510621704,9.533220655077928
24.8,7.4,7.9,0.7,15213.0,0.5306282510621704,9.629971335557247
24.0,7.4,7.8,1.9,12473.0,1.0647107369924282,9.431401757086068
22.8,7.5,8.0,1.7,30319.0,0.9932517730102833,10.319562839756308
26.8,7.2,8.0,1.5,4314.0,0.9162907318741551,8.36985260351753
27.4,6.6,7.8,1.5,4224.0,0.9162907318741551,8.348774539791274
25.3,7.5,7.9,1.0,8559.0,0.6931471805599453,9.054855469135788
27.1,7.4,7.9,0.8,16709.0,0.5877866649021191,9.72376262158944
29.0,6.7,7.3,1.8965,468.0,1.0635031115545417,6.150602768446279
25.0,5.9,7.9,1.8965,468.0,1.0635031115545417,6.150602768446279
25.0,6.5,7.3,1.8965,468.0,1.0635031115545417,6.150602768446279
25.0,6.5,7.7,1.8965,468.0,1.0635031115545417,6.150602768446279
32.0,6.0,7.1,1.8965,468.0,1.0635031115545417,6.150602768446279
29.3,6.5,7.4,2.0,374.0,1.0986122886681098,5.926926025970411
22.8,6.8,6.6,2.9,36.0,1.3609765531356006,3.6109179126442243
24.5,6.6,6.4,2.5,41.0,1.252762968495368,3.7376696182833684
25.5,6.6,6.5,2.5,45.0,1.252762968495368,3.828641396489095
29.0,6.7,6.9,2.2,38.0,1.1631508098056809,3.6635616461296463
